age_bin,avg_kwh,avg_therms
0,260386.93569739952,16358.76327817179
10,588527.6589537223,29491.689134808854
20,714699.3155172414,44197.97327586207
30,588159.1911667766,31952.934080421885
40,226050.3855647974,19656.848671854037
50,199831.41369306642,18372.450101537568
60,170440.85499058382,18216.170176339667
70,149181.91951566952,18370.160434472935
80,89283.48748953585,15574.289368430844
90,109847.39742212674,14071.462226996062
100,74978.34934765924,11641.624251726784
110,60530.921564390665,9018.724719101123
120,46544.1967833491,7554.985808893093
130,53338.102040816324,4931.819727891157
140,24017.655172413793,4112.172413793103
150,14924.666666666666,2260.6666666666665
